"Year","LGA","Contamination_rate"
"2013","Baw Baw",9.87
"2013","Bayside",0
"2013","Benalla",9.37
"2013","Boroondara",0
"2013","Brimbank",17.5
"2013","Buloke",0
"2013","Campaspe",0
"2013","Cardinia",0
"2013","Casey",1.86
"2013","Central Goldfields",5
"2013","Colac Otway",10.5
"2013","Corangamite",13.02
"2013","Darebin",0
"2013","East Gippsland",18.05
"2013","Frankston",4.35
"2013","Gannawarra",8.41
"2013","Glen Eira",0
"2013","Glenelg",34.33
"2013","Golden Plains",6.26
"2013","Greater Bendigo",7.86
"2013","Greater Dandenong",0
"2013","Greater Geelong",0
"2013","Greater Shepparton",0
"2013","Hepburn",10
"2013","Hindmarsh",11.51
"2013","Hobsons Bay",0
"2013","Horsham",18.7
"2013","Hume",11.6
"2013","Indigo",0
"2013","Kingston",6
"2013","Knox",2.91
"2013","Latrobe",10.97
"2013","Loddon",0
"2013","Macedon Ranges",7.99
"2013","Manningham",0
"2013","Mansfield",10
"2013","Maribyrnong",0
"2013","Maroondah",9.81
"2013","Melbourne",18.7
"2013","Melton",7
"2013","Mildura",0
"2013","Mitchell",0
"2013","Moira",0
"2013","Monash",0
"2013","Moonee Valley",12.05
"2013","Moorabool",7.62
"2013","Moreland",15.21
"2013","Mornington Peninsula",0
"2013","Mount Alexander",10.03
"2013","Moyne",11.31
"2013","Murrindindi",0
"2013","Nillumbik",0
"2013","Northern Grampians",5.1
"2013","Port Phillip",13.7
"2013","Pyrenees",7.41
"2013","Queenscliffe",0
"2013","South Gippsland",8
"2013","Southern Grampians",0
"2013","Stonnington",0.9
"2013","Strathbogie",0
"2013","Surf Coast",0
"2013","Swan Hill",24.12
"2013","Towong",0
"2013","Wangaratta",4.23
"2013","Warrnambool",0
"2013","Wellington",10
"2013","West Wimmera",0
"2013","Whitehorse",8.4
"2013","Whittlesea",14.3
"2013","Wodonga",9.32
"2013","Wyndham",0
"2013","Yarra",7.72
"2013","Yarra Ranges",9.87
"2013","Yarriambiack",6.54
"2014","Alpine",4.01
"2014","Ararat",0
"2014","Ballarat",16
"2014","Banyule",7.19
"2014","Bass Coast",30.34
"2014","Baw Baw",9.93
"2014","Bayside",0
"2014","Benalla",0.95
"2014","Boroondara",2.5
"2014","Brimbank",51.3
"2014","Buloke",0
